Time,AvgFPS,1%low
2.520995,0,0
2.529514,0,0
2.537465,0,0
2.545698,0,0
2.553829,0,0
2.56146,0,0
2.570089,0,0
2.578328,0,0
2.586254,0,0
2.59448,0,0
2.602038,0,0
2.611316,0,0
2.619227,0,0
2.627527,0,0
2.638316,0,0
2.646631,0,0
2.655864,0,0
2.664147,0,0
2.672999,0,0
2.681004,0,0
2.689596,0,0
2.697424,0,0
2.705644,0,0
2.714715,0,0
2.722361,0,0
2.730857,0,0
2.738704,0,0
2.746583,0,0
2.75491,0,0
2.762652,0,0
2.772154,0,0
2.780782,0,0
2.790141,0,0
2.80642,0,0
2.820879,0,0
2.829221,0,0
2.837342,0,0
2.84526,0,0
2.853724,0,0
2.861282,0,0
2.869816,0,0
2.877545,0,0
2.885496,0,0
2.893737,0,0
2.901705,0,0
2.910652,0,0
2.918547,0,0
2.926902,0,0
2.936613,0,0
2.944578,0,0
2.953862,0,0
2.961964,0,0
2.971443,0,0
2.979642,0,0
2.988804,0,0
2.997465,0,0
3.005568,0,0
3.015907,0,0
3.026901,0,0
3.035645,0,0
3.045734,0,0
3.054838,0,0
3.062641,0,0
3.07178,0,0
3.079632,0,0
3.088319,0,0
3.098321,0,0
3.106421,0,0
3.114919,0,0
3.12261,0,0
3.131258,0,0
3.138786,0,0
3.147142,0,0
3.155753,0,0
3.164295,0,0
3.174247,0,0
3.182637,0,0
3.191268,0,0
3.199222,0,0
3.207248,0,0
3.216119,0,0
3.224119,0,0
3.232378,0,0
3.24057,0,0
3.249105,0,0
3.257113,0,0
3.265604,0,0
3.275301,0,0
3.285665,0,0
3.296146,0,0
3.306319,0,0
3.319579,0,0
3.328366,0,0
3.340539,0,0
3.350384,0,0
3.359064,0,0
3.367832,0,0
3.377192,0,0
3.385029,0,0
3.394225,0,0
3.402911,0,0
3.411979,0,0
3.419947,0,0
3.428125,0,0
3.437016,0,0
3.445659,0,0
3.454108,0,0
3.461831,0,0
3.470452,0,0
3.477935,0,0
3.485647,0,0
3.494168,0,0
3.502783,0,0
3.512082,0,0
3.520545,0,0
3.530033,0,0
3.53847,0,0
3.546514,0,0
3.555313,0,0
3.564535,0,0
3.573775,0,0
3.58202,0,0
3.590365,0,0
3.59916,0,0
3.607831,0,0
3.617945,0,0
3.626477,0,0
3.636944,0,0
3.645157,0,0
3.654186,0,0
3.66411,0,0
3.672696,0,0
3.680566,0,0
3.689805,0,0
3.69767,0,0
3.70576,0,0
3.714516,0,0
3.722076,0,0
3.73164,0,0
3.740014,0,0
3.748596,0,0
3.757026,0,0
3.765224,0,0
3.774386,0,0
3.782623,0,0
3.791628,0,0
3.799813,0,0
3.80898,0,0
3.817888,0,0
3.825897,0,0
3.835477,0,0
3.843783,0,0
3.852438,0,0
3.860896,0,0
3.86957,0,0
3.877603,0,0
3.885526,0,0
3.894889,0,0
3.903151,0,0
3.911901,0,0
3.920076,0,0
3.929309,0,0
3.937218,0,0
3.945588,0,0
3.954045,0,0
3.962688,0,0
3.971616,0,0
3.979414,0,0
3.986919,0,0
3.996795,0,0
4.004339,0,0
4.013252,0,0
4.021102,0,0
4.030254,0,0
4.03833,0,0
4.046532,0,0
4.055235,0,0
4.062888,0,0
4.072456,0,0
4.080376,0,0
4.089115,0,0
4.097169,0,0
4.104881,0,0
4.113283,0,0
4.121026,0,0
4.129852,0,0
4.139609,0,0
4.147894,0,0
4.156915,0,0
4.165215,0,0
4.175716,0,0
4.183688,0,0
4.192418,0,0
4.199709,0,0
4.20785,0,0
4.216832,0,0
4.225505,0,0
4.233955,0,0
4.2423,0,0
4.250577,0,0
4.258817,0,0
4.26759,0,0
4.277261,0,0
4.284631,0,0
4.294878,0,0
4.302815,0,0
4.3114,0,0
4.318727,0,0
4.327367,0,0
4.335629,0,0
4.344088,0,0
4.352959,0,0
4.361284,0,0
4.36956,0,0
4.377568,0,0
4.386768,0,0
4.396206,0,0
4.403431,0,0
4.412206,0,0
4.420606,0,0
4.429576,0,0
4.437613,0,0
4.445941,0,0
4.454753,0,0
4.463068,0,0
4.471561,0,0
4.479965,0,0
4.487793,0,0
4.497827,0,0
4.505993,0,0
4.515202,0,0
4.523149,0,0
4.531848,0,0
4.53935,0,0
4.547781,0,0
4.556898,0,0
4.564902,0,0
4.573527,0,0
4.581296,0,0
4.589612,0,0
4.597656,0,0
4.60535,0,0
4.614532,0,0
4.623019,0,0
4.63226,0,0
4.640265,0,0
4.648976,0,0
4.657204,0,0
4.665311,0,0
4.673627,0,0
4.682314,0,0
4.690643,0,0
4.698963,0,0
4.706473,0,0
4.715081,0,0
4.723427,0,0
4.731905,0,0
4.739662,0,0
4.747758,0,0
4.757766,0,0
4.765812,0,0
4.77433,0,0
4.782546,0,0
4.793636,0,0
4.802117,0,0
4.810726,0,0
4.819529,0,0
4.827626,0,0
4.836839,0,0
4.84504,0,0
4.853453,0,0
4.861922,0,0
4.871861,0,0
4.87971,0,0
4.888069,0,0
4.89696,0,0
4.90552,0,0
4.914277,0,0
4.922533,0,0
4.931502,0,0
4.941237,0,0
4.94997,0,0
4.958687,0,0
4.966888,0,0
4.976198,0,0
4.983816,0,0
4.992837,0,0
5.000231,0,0
5.009032,0,0
5.017485,0,0
5.026057,0,0
5.034648,0,0
5.042969,0,0
5.051831,0,0
5.060123,0,0
5.068604,0,0
5.076951,0,0
5.085123,0,0
5.095234,0,0
5.103156,0,0
5.112063,0,0
5.120428,0,0
5.131034,0,0
5.139643,0,0
5.147848,0,0
5.156606,0,0
5.16515,0,0
5.174148,0,0
5.182482,0,0
5.191798,0,0
5.199935,0,0
5.207895,0,0
5.217314,0,0
5.22533,0,0
5.23345,0,0
5.241457,0,0
5.25069,0,0
5.258468,0,0
5.266562,0,0
5.275332,0,0
5.283407,0,0
5.292705,0,0
5.300262,0,0
5.308606,0,0
5.31662,0,0
5.324632,0,0
5.333625,0,0
5.341865,0,0
5.351131,0,0
5.358896,0,0
5.366551,0,0
5.376629,0,0
5.384556,0,0
5.393372,0,0
5.40131,0,0
5.410228,0,0
5.418885,0,0
5.42761,0,0
5.436611,0,0
5.445845,0,0
5.456135,0,0
5.464068,0,0
5.473006,0,0
5.481538,0,0
5.490317,0,0
5.498452,0,0
5.506357,0,0
5.51542,0,0
5.526021,0,0
5.534636,0,0
5.542369,0,0
5.551732,0,0
5.559766,0,0
5.567623,0,0
5.576718,0,0
5.585759,0,0
5.594625,0,0
5.602428,0,0
5.611596,0,0
5.620147,0,0
5.629108,0,0
5.637127,0,0
5.644957,0,0
5.6548,0,0
5.662726,0,0
5.67186,0,0
5.680495,0,0
5.689812,0,0
5.698046,0,0
5.707689,0,0
5.717343,0,0
5.725067,0,0
5.734185,0,0
5.742455,0,0
5.752378,0,0
5.760381,0,0
5.7695,0,0
5.777652,0,0
5.786387,0,0
5.795791,0,0
5.804008,0,0
5.813088,0,0
5.821831,0,0
5.829924,0,0
5.838717,0,0
5.847246,0,0
5.856485,0,0
5.86431,0,0
5.872905,0,0
5.881444,0,0
5.890014,0,0
5.898499,0,0
5.90649,0,0
5.916514,0,0
5.924931,0,0
5.933887,0,0
5.942767,0,0
5.951535,0,0
5.959038,0,0
5.966674,0,0
5.975436,0,0
5.982942,0,0
5.992605,0,0
6.000635,0,0
6.009548,0,0
6.017432,0,0
6.025286,0,0
6.034341,0,0
6.042968,0,0
6.051539,0,0
6.060096,0,0
6.068639,0,0
6.076909,0,0
6.084609,0,0
6.093256,0,0
6.100888,0,0
6.111184,0,0
6.118367,0,0
6.126263,0,0
6.135025,0,0
6.144196,0,0
6.153304,0,0
6.161132,0,0
6.168732,0,0
6.176629,0,0
6.184213,0,0
6.192666,0,0
6.199943,0,0
6.208434,0,0
6.216849,0,0
6.224581,0,0
6.233535,0,0
6.242729,0,0
6.251452,0,0
6.259424,0,0
6.267301,0,0
6.276871,0,0
6.284788,0,0
6.293161,0,0
6.300913,0,0
6.309778,0,0
6.317914,0,0
6.325517,0,0
6.333855,0,0
6.34192,0,0
6.351021,0,0
6.358888,0,0
6.366912,0,0
6.375496,0,0
6.384673,0,0
6.392457,0,0
6.400307,0,0
6.409014,0,0
6.418065,0,0
6.426072,0,0
6.434616,0,0
6.443014,0,0
6.45154,0,0
6.460187,0,0
6.469075,0,0
6.477822,0,0
6.48693,0,0
6.496217,0,0
6.50438,0,0
6.513652,0,0
6.521355,0,0
6.530293,0,0
6.538143,0,0
6.546412,0,0
6.554925,0,0
6.56267,0,0
6.571095,0,0
